token_id,gene_id
1,ENSMUSG00000000001
2,ENSMUSG00000000028
3,ENSMUSG00000000049
4,ENSMUSG00000000056
5,ENSMUSG00000000058
6,ENSMUSG00000000078
7,ENSMUSG00000000085
8,ENSMUSG00000000088
9,ENSMUSG00000000093
10,ENSMUSG00000000094
11,ENSMUSG00000000120
12,ENSMUSG00000000125
13,ENSMUSG00000000126
14,ENSMUSG00000000127
15,ENSMUSG00000000131
16,ENSMUSG00000000134
17,ENSMUSG00000000142
18,ENSMUSG00000000148
19,ENSMUSG00000000149
20,ENSMUSG00000000167
21,ENSMUSG00000000168
22,ENSMUSG00000000171
23,ENSMUSG00000000182
24,ENSMUSG00000000183
25,ENSMUSG00000000184
26,ENSMUSG00000000194
27,ENSMUSG00000000197
28,ENSMUSG00000000202
29,ENSMUSG00000000214
30,ENSMUSG00000000216
31,ENSMUSG00000000223
32,ENSMUSG00000000244
33,ENSMUSG00000000247
34,ENSMUSG00000000253
35,ENSMUSG00000000263
36,ENSMUSG00000000266
37,ENSMUSG00000000275
38,ENSMUSG00000000276
39,ENSMUSG00000000278
40,ENSMUSG00000000282
41,ENSMUSG00000000290
42,ENSMUSG00000000295
43,ENSMUSG00000000296
44,ENSMUSG00000000301
45,ENSMUSG00000000303
46,ENSMUSG00000000305
47,ENSMUSG00000000317
48,ENSMUSG00000000320
49,ENSMUSG00000000326
50,ENSMUSG00000000339
51,ENSMUSG00000000340
52,ENSMUSG00000000346
53,ENSMUSG00000000355
54,ENSMUSG00000000359
55,ENSMUSG00000000365
56,ENSMUSG00000000374
57,ENSMUSG00000000378
58,ENSMUSG00000000384
59,ENSMUSG00000000385
60,ENSMUSG00000000392
61,ENSMUSG00000000394
62,ENSMUSG00000000399
63,ENSMUSG00000000402
64,ENSMUSG00000000409
65,ENSMUSG00000000411
66,ENSMUSG00000000416
67,ENSMUSG00000000420
68,ENSMUSG00000000435
69,ENSMUSG00000000439
70,ENSMUSG00000000440
71,ENSMUSG00000000441
72,ENSMUSG00000000486
73,ENSMUSG00000000489
74,ENSMUSG00000000530
75,ENSMUSG00000000531
76,ENSMUSG00000000532
77,ENSMUSG00000000538
78,ENSMUSG00000000544
79,ENSMUSG00000000552
80,ENSMUSG00000000555
81,ENSMUSG00000000560
82,ENSMUSG00000000561
83,ENSMUSG00000000562
84,ENSMUSG00000000563
85,ENSMUSG00000000567
86,ENSMUSG00000000568
87,ENSMUSG00000000581
88,ENSMUSG00000000594
89,ENSMUSG00000000600
90,ENSMUSG00000000605
91,ENSMUSG00000000617
92,ENSMUSG00000000627
93,ENSMUSG00000000631
94,ENSMUSG00000000632
95,ENSMUSG00000000673
96,ENSMUSG00000000686
97,ENSMUSG00000000690
98,ENSMUSG00000000693
99,ENSMUSG00000000706
100,ENSMUSG00000000708
101,ENSMUSG00000000711
102,ENSMUSG00000000724
103,ENSMUSG00000000730
104,ENSMUSG00000000731
105,ENSMUSG00000000738
106,ENSMUSG00000000740
107,ENSMUSG00000000743
108,ENSMUSG00000000751
109,ENSMUSG00000000753
110,ENSMUSG00000000759
111,ENSMUSG00000000766
112,ENSMUSG00000000776
113,ENSMUSG00000000782
114,ENSMUSG00000000787
115,ENSMUSG00000000792
116,ENSMUSG00000000794
117,ENSMUSG00000000805
118,ENSMUSG00000000811
119,ENSMUSG00000000817
120,ENSMUSG00000000823
121,ENSMUSG00000000826
122,ENSMUSG00000000827
123,ENSMUSG00000000838
124,ENSMUSG00000000861
125,ENSMUSG00000000876
126,ENSMUSG00000000881
127,ENSMUSG00000000884
128,ENSMUSG00000000889
129,ENSMUSG00000000901
130,ENSMUSG00000000902
131,ENSMUSG00000000903
132,ENSMUSG00000000915
133,ENSMUSG00000000916
134,ENSMUSG00000000934
135,ENSMUSG00000000938
136,ENSMUSG00000000942
137,ENSMUSG00000000957
138,ENSMUSG00000000958
139,ENSMUSG00000000959
140,ENSMUSG00000000976
141,ENSMUSG00000001014
142,ENSMUSG00000001016
143,ENSMUSG00000001017
144,ENSMUSG00000001018
145,ENSMUSG00000001020
146,ENSMUSG00000001021
147,ENSMUSG00000001023
148,ENSMUSG00000001025
149,ENSMUSG00000001027
150,ENSMUSG00000001029
151,ENSMUSG00000001034
152,ENSMUSG00000001036
153,ENSMUSG00000001039
154,ENSMUSG00000001052
155,ENSMUSG00000001053
156,ENSMUSG00000001054
157,ENSMUSG00000001056
158,ENSMUSG00000001062
159,ENSMUSG00000001065
160,ENSMUSG00000001076
161,ENSMUSG00000001082
162,ENSMUSG00000001089
163,ENSMUSG00000001095
164,ENSMUSG00000001098
165,ENSMUSG00000001100
166,ENSMUSG00000001103
167,ENSMUSG00000001105
168,ENSMUSG00000001119
169,ENSMUSG00000001120
170,ENSMUSG00000001127
171,ENSMUSG00000001128
172,ENSMUSG00000001131
173,ENSMUSG00000001134
174,ENSMUSG00000001138
175,ENSMUSG00000001143
176,ENSMUSG00000001150
177,ENSMUSG00000001151
178,ENSMUSG00000001155
179,ENSMUSG00000001156
180,ENSMUSG00000001158
181,ENSMUSG00000001173
182,ENSMUSG00000001175
183,ENSMUSG00000001211
184,ENSMUSG00000001225
185,ENSMUSG00000001227
186,ENSMUSG00000001228
187,ENSMUSG00000001229
188,ENSMUSG00000001240
189,ENSMUSG00000001247
190,ENSMUSG00000001248
191,ENSMUSG00000001249
192,ENSMUSG00000001260
193,ENSMUSG00000001270
194,ENSMUSG00000001280
195,ENSMUSG00000001281
196,ENSMUSG00000001285
197,ENSMUSG00000001288
198,ENSMUSG00000001289
199,ENSMUSG00000001300
200,ENSMUSG00000001305
201,ENSMUSG00000001313
202,ENSMUSG00000001323
203,ENSMUSG00000001333
204,ENSMUSG00000001334
205,ENSMUSG00000001348
206,ENSMUSG00000001349
207,ENSMUSG00000001366
208,ENSMUSG00000001376
209,ENSMUSG00000001383
210,ENSMUSG00000001403
211,ENSMUSG00000001415
212,ENSMUSG00000001416
213,ENSMUSG00000001418
214,ENSMUSG00000001419
215,ENSMUSG00000001420
216,ENSMUSG00000001424
217,ENSMUSG00000001435
218,ENSMUSG00000001436
219,ENSMUSG00000001440
220,ENSMUSG00000001441
221,ENSMUSG00000001444
222,ENSMUSG00000001445
223,ENSMUSG00000001467
224,ENSMUSG00000001472
225,ENSMUSG00000001473
226,ENSMUSG00000001482
227,ENSMUSG00000001493
228,ENSMUSG00000001494
229,ENSMUSG00000001496
230,ENSMUSG00000001497
231,ENSMUSG00000001504
232,ENSMUSG00000001506
233,ENSMUSG00000001507
234,ENSMUSG00000001508
235,ENSMUSG00000001510
236,ENSMUSG00000001517
237,ENSMUSG00000001518
238,ENSMUSG00000001520
239,ENSMUSG00000001521
240,ENSMUSG00000001524
241,ENSMUSG00000001525
242,ENSMUSG00000001542
243,ENSMUSG00000001552
244,ENSMUSG00000001555
245,ENSMUSG00000001558
246,ENSMUSG00000001566
247,ENSMUSG00000001569
248,ENSMUSG00000001576
249,ENSMUSG00000001583
250,ENSMUSG00000001588
251,ENSMUSG00000001604
252,ENSMUSG00000001627
253,ENSMUSG00000001630
254,ENSMUSG00000001632
255,ENSMUSG00000001655
256,ENSMUSG00000001656
257,ENSMUSG00000001657
258,ENSMUSG00000001661
259,ENSMUSG00000001670
260,ENSMUSG00000001672
261,ENSMUSG00000001674
262,ENSMUSG00000001687
263,ENSMUSG00000001707
264,ENSMUSG00000001729
265,ENSMUSG00000001739
266,ENSMUSG00000001741
267,ENSMUSG00000001750
268,ENSMUSG00000001751
269,ENSMUSG00000001755
270,ENSMUSG00000001761
271,ENSMUSG00000001763
272,ENSMUSG00000001767
273,ENSMUSG00000001768
274,ENSMUSG00000001773
275,ENSMUSG00000001774
276,ENSMUSG00000001783
277,ENSMUSG00000001785
278,ENSMUSG00000001786
279,ENSMUSG00000001794
280,ENSMUSG00000001802
281,ENSMUSG00000001804
282,ENSMUSG00000001815
283,ENSMUSG00000001819
284,ENSMUSG00000001823
285,ENSMUSG00000001829
286,ENSMUSG00000001833
287,ENSMUSG00000001844
288,ENSMUSG00000001847
289,ENSMUSG00000001855
290,ENSMUSG00000001864
291,ENSMUSG00000001865
292,ENSMUSG00000001870
293,ENSMUSG00000001891
294,ENSMUSG00000001901
295,ENSMUSG00000001909
296,ENSMUSG00000001910
297,ENSMUSG00000001911
298,ENSMUSG00000001918
299,ENSMUSG00000001924
300,ENSMUSG00000001930
301,ENSMUSG00000001942
302,ENSMUSG00000001943
303,ENSMUSG00000001946
304,ENSMUSG00000001948
305,ENSMUSG00000001962
