geo_accession,split,species
GSM1008469,TRAIN,MOUSE
GSM1013706,TRAIN,MOUSE
GSM1020648,TRAIN,MOUSE
GSM1032521,TRAIN,MOUSE
GSM1032534,TRAIN,MOUSE
GSM1032541,TRAIN,MOUSE
GSM1032778,TRAIN,MOUSE
GSM1032781,TRAIN,MOUSE
GSM1036502,TRAIN,MOUSE
GSM1047966,TRAIN,MOUSE
GSM1058119,TRAIN,MOUSE
GSM1064940,TRAIN,MOUSE
GSM1088698,TRAIN,MOUSE
GSM1088723,TRAIN,MOUSE
GSM1089087,TRAIN,MOUSE
GSM1105151,TRAIN,MOUSE
GSM1105742,TRAIN,MOUSE
GSM1109822,TRAIN,MOUSE
GSM1110891,TRAIN,MOUSE
GSM1111370,TRAIN,MOUSE
GSM1112074,TRAIN,MOUSE
GSM1112500,TRAIN,MOUSE
GSM1112579,TRAIN,MOUSE
GSM1112629,TRAIN,MOUSE
GSM1112651,TRAIN,MOUSE
GSM1112684,TRAIN,MOUSE
GSM1112693,TRAIN,MOUSE
GSM1112708,TRAIN,MOUSE
GSM1112761,TRAIN,MOUSE
GSM1112763,TRAIN,MOUSE
GSM1118159,TRAIN,MOUSE
GSM1119512,TRAIN,MOUSE
GSM1119554,TRAIN,MOUSE
GSM1119573,TRAIN,MOUSE
GSM1119843,TRAIN,MOUSE
GSM1120555,TRAIN,MOUSE
GSM1120597,TRAIN,MOUSE
GSM1120614,TRAIN,MOUSE
GSM1120757,TRAIN,MOUSE
GSM1120999,TRAIN,MOUSE
GSM1121015,TRAIN,MOUSE
GSM1121714,TRAIN,MOUSE
GSM1121731,TRAIN,MOUSE
GSM1121756,TRAIN,MOUSE
GSM1121764,TRAIN,MOUSE
GSM1121831,TRAIN,MOUSE
GSM1122754,TRAIN,MOUSE
GSM1129337,TRAIN,MOUSE
GSM1151879,TRAIN,MOUSE
GSM1155187,TRAIN,MOUSE
GSM1161948,TRAIN,MOUSE
GSM1167555,TRAIN,MOUSE
GSM1169462,TRAIN,MOUSE
GSM1169464,TRAIN,MOUSE
GSM1173365,TRAIN,MOUSE
